# Constructed from biom file
#OTU ID	19118X1	19118X10	19118X11	19118X12	19118X13	19118X14	19118X15	19118X16	19118X17	19118X18	19118X19	19118X2	19118X20	19118X21	19118X22	19118X23	19118X24	19118X25	19118X26	19118X27	19118X28	19118X29	19118X3	19118X30	19118X31	19118X32	19118X33	19118X34	19118X35	19118X36	19118X37	19118X38	19118X39	19118X4	19118X40	19118X41	19118X42	19118X43	19118X44	19118X45	19118X5	19118X6	19118X7	19118X8	19118X9
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__	1.0	1.0	5.0	1.0	3.0	1.0	6.0	5.0	1.0	1.0	4.0	1.0	6.0	8.0	12.0	6.0	30.0	10.0	5.0	2.0	1.0	13.0	1.0	12.0	0.0	11.0	5.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	3.0	5.0	16.0	28.0	2.0	2.0	0.0	9.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]	2.0	0.0	5.0	3.0	2.0	1.0	0.0	2.0	1.0	1.0	1.0	4.0	7.0	4.0	14.0	2.0	9.0	3.0	7.0	6.0	0.0	4.0	1.0	21.0	6.0	4.0	2.0	8.0	12.0	6.0	12.0	0.0	0.0	1.0	0.0	4.0	11.0	6.0	3.0	5.0	0.0	0.0	4.0	1.0	4.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	0.0	3.0	0.0	3.0	0.0	2.0	1.0	1.0	1.0	0.0	2.0	2.0	0.0	2.0	9.0	2.0	3.0	9.0	2.0	1.0	4.0	1.0	0.0	3.0	4.0	4.0	2.0	14.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	3.0	17.0	3.0	4.0	0.0	0.0	0.0	3.0	2.0
k__Bacteria;p__;c__;o__;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	1.0	0.0	0.0	16.0	2.0	2.0	7.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	26.0	20.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Pigmentiphaga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
